CODE,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,result,first_party,second_party
E14001023,E12000008,Wealden,East Sussex,South East,England,County,Nusrat,Ghani,Female,Con hold,Con,LD
E14001024,E12000002,Weaver Vale,Cheshire,North West,England,County,Mike,Amesbury,Male,Lab hold,Lab,Con
E14001025,E12000004,Wellingborough,Northamptonshire,East Midlands,England,County,Peter,Bone,Male,Con hold,Con,Lab
E14001026,E12000009,Wells,Somerset,South West,England,County,James,Heappey,Male,Con hold,Con,LD
E14001027,E12000006,Welwyn Hatfield,Hertfordshire,East,England,County,Grant,Shapps,Male,Con hold,Con,Lab
E14001028,E12000003,Wentworth and Dearne,South Yorkshire,Yorkshire and The Humber,England,County,John,Healey,Male,Lab hold,Lab,Con
S14000058,S92000003,West Aberdeenshire and Kincardine,Scotland,Scotland,Scotland,County,Andrew,Bowie,Male,Con hold,Con,SNP
E14001029,E12000005,West Bromwich East,West Midlands,West Midlands,England,Borough,Nicola,Richards,Female,Con gain from Lab,Con,Lab
E14001030,E12000005,West Bromwich West,West Midlands,West Midlands,England,Borough,Shaun,Bailey,Male,Con gain from Lab Coop,Con,Lab
E14001031,E12000009,West Dorset,Dorset,South West,England,County,Chris,Loder,Male,Con hold,Con,LD
S14000059,S92000003,West Dunbartonshire,Scotland,Scotland,Scotland,County,Martin,Docherty-Hughes,Male,SNP hold,SNP,Lab
E14001032,E12000007,West Ham,London,London,England,Borough,Lyn,Brown,Female,Lab hold,Lab,Con
E14001033,E12000002,West Lancashire,Lancashire,North West,England,County,Rosie,Cooper,Female,Lab hold,Lab,Con
E14001036,E12000007,Westminster North,London,London,England,Borough,Karen,Buck,Female,Lab hold,Lab,Con
E14001037,E12000002,Westmorland and Lonsdale,Cumbria,North West,England,County,Timothy,Farron,Male,LD hold,LD,Con
E14001038,E12000009,Weston-Super-Mare,Avon,South West,England,County,John,Penrose,Male,Con hold,Con,Lab
E14001034,E12000006,West Suffolk,Suffolk,East,England,County,Matthew,Hancock,Male,Con hold,Con,Lab
N06000018,N92000002,West Tyrone,Northern Ireland,Northern Ireland,Northern Ireland,County,Órfhlaith,Begley,Female,SF hold,SF,DUP
E14001035,E12000005,West Worcestershire,Hereford and Worcester,West Midlands,England,County,Harriett,Baldwin,Female,Con hold,Con,LD
E14001039,E12000002,Wigan,Greater Manchester,North West,England,County,Lisa,Nandy,Female,Lab hold,Lab,Con
E14001040,E12000007,Wimbledon,London,London,England,Borough,Stephen,Hammond,Male,Con hold,Con,LD
E14001041,E12000008,Winchester,Hampshire,South East,England,County,Stephen,Brine,Male,Con hold,Con,LD
E14001042,E12000008,Windsor,Berkshire,South East,England,County,Adam,Afriyie,Male,Con hold,Con,LD
E14001043,E12000002,Wirral South,Merseyside,North West,England,County,Alison,McGovern,Female,Lab hold,Lab,Con
E14001044,E12000002,Wirral West,Merseyside,North West,England,County,Margaret,Greenwood,Female,Lab hold,Lab,Con
E14001045,E12000006,Witham,Essex,East,England,County,Priti,Patel,Female,Con hold,Con,Lab
E14001046,E12000008,Witney,Oxfordshire,South East,England,County,Robert,Courts,Male,Con hold,Con,LD
E14001047,E12000008,Woking,Surrey,South East,England,County,Jonathan,Lord,Male,Con hold,Con,LD
E14001048,E12000008,Wokingham,Berkshire,South East,England,County,John,Redwood,Male,Con hold,Con,LD
E14001049,E12000005,Wolverhampton North East,West Midlands,West Midlands,England,Borough,Jane,Stevenson,Female,Con gain from Lab,Con,Lab
E14001050,E12000005,Wolverhampton South East,West Midlands,West Midlands,England,Borough,Pat,McFadden,Male,Lab hold,Lab,Con
E14001051,E12000005,Wolverhampton South West,West Midlands,West Midlands,England,Borough,Stuart,Anderson,Male,Con gain from Lab,Con,Lab
E14001052,E12000005,Worcester,Hereford and Worcester,West Midlands,England,Borough,Robin,Walker,Male,Con hold,Con,Lab
E14001053,E12000002,Workington,Cumbria,North West,England,County,Mark,Jenkinson,Male,Con gain from Lab,Con,Lab
E14001054,E12000002,Worsley and Eccles South,Greater Manchester,North West,England,County,Barbara,Keeley,Female,Lab hold,Lab,Con
E14001055,E12000008,Worthing West,West Sussex,South East,England,Borough,Peter,Bottomley,Male,Con hold,Con,Lab
W07000044,W92000004,Wrexham,Clwyd,Wales,Wales,County,Sarah,Atherton,Female,Con gain from Lab,Con,Lab
E14001056,E12000008,Wycombe,Buckinghamshire,South East,England,County,Steve,Baker,Male,Con hold,Con,Lab
E14001057,E12000002,Wyre and Preston North,Lancashire,North West,England,County,Ben,Wallace,Male,Con hold,Con,Lab
E14001058,E12000005,Wyre Forest,Hereford and Worcester,West Midlands,England,County,Mark,Garnier,Male,Con hold,Con,Lab
E14001059,E12000002,Wythenshawe and Sale East,Greater Manchester,North West,England,Borough,Michael,Kane,Male,Lab hold,Lab,Con
E14001060,E12000009,Yeovil,Somerset,South West,England,County,Marcus,Fysh,Male,Con hold,Con,LD
W07000041,W92000004,Ynys Mon,Gwynedd,Wales,Wales,County,Virginia,Crosbie,Female,Con gain from Lab,Con,Lab
E14001061,E12000003,York Central,North Yorkshire,Yorkshire and The Humber,England,Borough,Rachael,Maskell,Female,Lab hold,Lab,Con
E14001062,E12000003,York Outer,North Yorkshire,Yorkshire and The Humber,England,County,Julian,Sturdy,Male,Con hold,Con,Lab
